GRB_id,logTa_best,logTa_min,logTa_max,logTt,logTfinal,alpha_best,alpha_min,alpha_max,logFa,logFa_min,logFa_max
GRB050128,2.89188,2.81994,2.96382,1.63,5.2,1.144,1.12467,1.1634,-9.55803,-9.63398,-9.48207
GRB050502B,5.16234,5.06216,5.26428,4,5.6,2.53722,2.07318,2.97271,-12.6478,-12.7691,-12.3347
GRB050607,3.86029,3.77922,3.94135,3,6,1.06876,1.02145,1.11606,-11.5579,-11.6181,-11.4977
GRB050712,4.37043,4.28876,4.45211,3.6,6.2,1.05095,1.00467,1.09724,-11.5943,-11.6532,-11.5354
GRB050713A,3.53467,3.49889,3.57045,2.4,6.4,1.16789,1.14734,1.18844,-10.2608,-10.2905,-10.231
GRB050713B,4.35502,4.29813,4.41192,3,6.2,1.0089,0.978252,1.03968,-10.7294,-10.7786,-10.6801
GRB050726,3.47822,3.44173,3.51471,2.59,5.6,1.62475,1.57785,1.67165,-10.4166,-10.4579,-10.3752
GRB050814,3.70038,3.57617,3.8246,2.8,5.8,0.874744,0.818503,0.930985,-11.2842,-11.3554,-11.2131
GRB050822,4.40868,4.36072,4.45664,3,6.7,1.01745,0.991145,1.04376,-11.399,-11.437,-11.3609
GRB050915B,4.27848,4.12476,4.43221,3,5.8,0.893793,0.790603,0.996982,-11.8863,-11.9822,-11.7904
GRB050922B,5.27032,5.14832,5.39231,3.2,6.4,1.39422,1.22028,1.56816,-11.4892,-11.5873,-11.3912
GRB051016A,3.3379,3.2291,3.44669,2.5,5.8,0.932183,0.884872,0.979493,-11.125,-11.1878,-11.0622
GRB060105,2.92025,2.9099,2.93059,2,5.6,1.53134,1.52055,1.54212,-8.89733,-8.90787,-8.88679
GRB060108,4.05409,3.95692,4.15126,2.3,5.8,1.13879,1.05761,1.21997,-11.5749,-11.6456,-11.5041
GRB060109,4.15565,4.09875,4.21255,2.6,5.6,1.53216,1.44538,1.61893,-11.3666,-11.4254,-11.3077
GRB060219,3.90781,3.75205,4.06358,2.6,5.8,1.06824,0.976834,1.15965,-11.4924,-11.6133,-11.3714
GRB060312,3.66183,3.52387,3.79979,2.5,5,0.9863,0.91254,1.06006,-11.3551,-11.4747,-11.2355
