,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,253.794,1.109,-1.367,1.31654186695805e-09,2.00027469184448e-10,-2.00056211986073e-10
1,256.361,1.188,-1.457,1.20616672820223e-09,1.83257435020059e-10,-1.83283527587646e-10
2,258.883,1.189,-1.334,1.25097869275592e-09,1.86502171792997e-10,-1.86529227258581e-10
3,261.009,0.803,-0.937,1.75108579829797e-09,2.66046956858596e-10,-2.6608356704207e-10
4,263.579,1.812,-1.767,7.98668907750438e-10,1.28565548871018e-10,-1.28581379282693e-10
5,266.914,1.477,-1.523,9.89032926757017e-10,1.4744956854974e-10,-1.4747072389593e-10
6,269.734,1.421,-1.343,1.04960522182136e-09,1.59470970461284e-10,-1.59494047564017e-10
7,272.987,1.855,-1.831,8.02209939149952e-10,1.19596912361372e-10,-1.19613967650545e-10
8,276.795,2.076,-1.953,7.29131433947299e-10,1.1077978088811e-10,-1.10795700497656e-10
9,280.345,1.539,-1.473,9.98610440045944e-10,1.48876692243748e-10,-1.48897555746271e-10
10,283.416,1.331,-1.532,1.05190016541695e-09,1.59816331052963e-10,-1.59837151258278e-10
11,286.069,1.273,-1.323,1.20672854486892e-09,1.79902446235949e-10,-1.79926599313585e-10
12,288.774,1.33,-1.431,1.11844954943224e-09,1.7320281407853e-10,-1.73224540862011e-10
13,291.561,1.492,-1.458,1.05447623829392e-09,1.60209195158902e-10,-1.60231180987573e-10
14,294.171,1.384,-1.117,1.18262788228092e-09,1.90372237774249e-10,-1.90394925345372e-10
15,296.99,1.47,-1.436,1.08243924269934e-09,1.613745623509e-10,-1.61397368298012e-10
16,300.592,1.551,-2.132,8.44052976060702e-10,1.282384939745e-10,-1.28255666401408e-10
17,303.336,1.48,-1.194,1.16865402863828e-09,1.77556129546656e-10,-1.77580162058743e-10
18,306.025,1.233,-1.208,1.30668396735804e-09,1.94804285371393e-10,-1.94830603328297e-10
19,308.925,1.635,-1.667,9.4876918561411e-10,1.46928472079836e-10,-1.46948462187636e-10
20,311.879,1.483,-1.319,1.16318567797823e-09,1.76726161380468e-10,-1.76750676549763e-10
21,314.837,1.701,-1.475,1.05179310032098e-09,1.59801242448866e-10,-1.59822919156941e-10
22,318.249,1.79,-1.711,9.23277970722223e-10,1.40276012416343e-10,-1.4029532644782e-10
23,321.734,1.205,-1.695,1.0546717266649e-09,1.57235415058028e-10,-1.57258028900728e-10
24,324.712,1.353,-1.773,9.19667115894567e-10,1.42421582822336e-10,-1.42440941463454e-10
25,327.917,1.37,-1.852,9.21426479705507e-10,1.42694998364159e-10,-1.42715052143955e-10
26,331.282,2.059,-1.995,7.77845777945711e-10,1.15966109990521e-10,-1.15983601794313e-10
27,334.914,1.616,-1.572,9.7824105105427e-10,1.4584147752666e-10,-1.45862891057636e-10
28,338.331,1.36,-1.801,9.7618395013918e-10,1.4553329638129e-10,-1.45553608470265e-10
29,341.399,1.575,-1.708,9.33371175765486e-10,1.39151837684068e-10,-1.39172126427093e-10
30,345.08,2.136,-2.106,7.17414952265495e-10,1.069550739307e-10,-1.06970085403243e-10
31,348.866,1.392,-1.65,9.87560296660718e-10,1.47231276451882e-10,-1.47253234191022e-10
32,352.345,1.645,-2.087,7.76422902881296e-10,1.17964823164037e-10,-1.17981714820558e-10
33,355.777,1.948,-1.787,7.65583160871797e-10,1.16317234767635e-10,-1.16333379325033e-10
34,359.514,1.484,-1.789,9.21254025701619e-10,1.39968199178982e-10,-1.3998721835388e-10
35,362.893,1.467,-1.895,9.42138695440628e-10,1.40458553872433e-10,-1.40478826974859e-10
36,365.979,1.659,-1.618,9.42936639552847e-10,1.46024802034915e-10,-1.46044440155621e-10
37,369.499,1.606,-1.861,8.96057647683129e-10,1.36140997404356e-10,-1.36160137274113e-10
38,372.815,1.452,-1.709,9.52082598673379e-10,1.41941613110415e-10,-1.41962457957835e-10
39,376.531,1.846,-2.264,6.91198107631839e-10,1.05015676620018e-10,-1.05030241162853e-10
40,380.77,2.051,-2.394,6.39866094191669e-10,9.72172883021821e-11,-9.72312226300951e-11
41,385.063,1.398,-2.242,7.84198753467594e-10,1.19146249327791e-10,-1.19163237411633e-10
42,388.849,2.222,-2.388,5.72761049482073e-10,9.2062670410566e-11,-9.20735762171709e-11
43,393.046,1.824,-1.975,7.50467308339222e-10,1.16218164385446e-10,-1.16233422159161e-10
44,396.613,1.913,-1.743,7.7942188177924e-10,1.20702977468896e-10,-1.20719476157655e-10
45,400.785,1.761,-2.26,7.27860239459841e-10,1.08514473091087e-10,-1.08531104981667e-10
46,404.047,1.443,-1.501,9.72465753046762e-10,1.47752247964525e-10,-1.47774474823327e-10
47,407.418,2.109,-1.928,6.86318002411552e-10,1.08353552781236e-10,-1.08368532567562e-10
48,411.867,1.285,-2.34,8.04851101365293e-10,1.19993175359538e-10,-1.20011822492421e-10
49,415.306,2.156,-2.155,6.82387787478963e-10,1.01734803416835e-10,-1.01750325595e-10
50,419.382,1.802,-1.92,8.00913590471371e-10,1.19404333613094e-10,-1.1942176743892e-10
51,423.245,1.718,-2.061,5.35630366328181e-10,9.77982235961614e-11,-9.78075955061392e-11
52,426.916,1.54,-1.953,8.74911889697898e-10,1.32927590303861e-10,-1.32945845818158e-10
53,430.26,1.805,-1.805,8.42006937027938e-10,1.27927860251063e-10,-1.27945153845391e-10
54,434.129,1.785,-2.064,7.71695873735685e-10,1.15047037379418e-10,-1.15062908333484e-10
55,437.855,1.964,-1.941,7.36974235573333e-10,1.11969744489175e-10,-1.11984693942518e-10
56,441.455,2.347,-1.637,7.60186675332573e-10,1.1333195696842e-10,-1.1334806896337e-10
57,445.227,1.891,-1.425,9.07333146569639e-10,1.43244121377945e-10,-1.43262251468442e-10
58,448.779,1.613,-1.661,9.63866263895918e-10,1.46441830666595e-10,-1.46461397700994e-10
59,452.054,1.886,-1.662,6.51658796192867e-10,1.15205240239929e-10,-1.15216795376539e-10
60,455.933,1.987,-1.993,8.11523221989771e-10,1.23297351708512e-10,-1.23314654180902e-10
61,459.727,2.201,-1.807,7.78126603448098e-10,1.16006651248359e-10,-1.16023248214872e-10
62,464.018,1.491,-2.09,8.24146502238993e-10,1.22866053052503e-10,-1.2288259690709e-10
63,467.709,2.426,-2.199,6.3102485204691e-10,9.40759398305345e-11,-9.40893367816671e-11
64,472.621,1.884,-2.486,6.7193943921113e-10,1.00176568048033e-10,-1.00191477955655e-10
65,476.364,1.478,-1.86,5.86155020075605e-10,1.07023229282931e-10,-1.07033482445792e-10
66,479.819,1.692,-1.977,7.87398120928005e-10,1.19631344947326e-10,-1.19647774373781e-10
67,483.58,1.937,-2.07,7.26617107725597e-10,1.08328070512617e-10,-1.08344030466758e-10
68,487.872,2.113,-2.354,6.26634268274814e-10,9.70420514222626e-11,-9.70554495819373e-11
69,492.215,1.868,-2.231,6.74207159162621e-10,1.08531068210073e-10,-1.08544934124122e-10
70,496.202,1.372,-2.118,5.64135052714443e-10,1.05975550634295e-10,-1.05985357294474e-10
71,499.523,1.966,-1.949,7.76318727649317e-10,1.2022155383515e-10,-1.20237432188334e-10
72,503.883,1.85,-2.395,7.28307447077972e-10,1.10652480173564e-10,-1.106668148901e-10
73,507.784,1.743,-2.05,7.93620975810241e-10,1.18315663891593e-10,-1.18331931416259e-10
74,511.044,1.58,-1.517,9.65243948005502e-10,1.43902277142032e-10,-1.43922382113833e-10
75,514.696,1.885,-2.072,7.94888810061806e-10,1.18505500099073e-10,-1.18522300645954e-10
76,517.963,1.904,-1.382,6.67390453283058e-10,1.21855616830981e-10,-1.21867308022289e-10
77,521.816,1.947,-1.949,8.30156497642852e-10,1.26128728288112e-10,-1.26146720669832e-10
78,526.255,1.905,-2.491,7.32680528415389e-10,1.09232208031785e-10,-1.09248492916959e-10
79,530.441,2.026,-2.281,7.252388209991e-10,1.12312182361305e-10,-1.12327655578303e-10
80,534.808,1.455,-2.341,5.73805587532461e-10,1.04769263360582e-10,-1.04779879228727e-10
81,538.501,1.958,-2.238,7.78291879035809e-10,1.18250221572155e-10,-1.18267909183285e-10
82,542.188,1.827,-1.729,8.76958838374543e-10,1.33239976965094e-10,-1.33259185343523e-10
83,546.02,2.295,-2.005,6.84129046745068e-10,1.03942387100246e-10,-1.03957240005219e-10
84,550.227,2.171,-1.912,7.06542720000592e-10,1.05334695359382e-10,-1.05349879021979e-10
85,553.878,1.837,-1.479,5.79383092685945e-10,1.05786143250318e-10,-1.05795865385528e-10
86,557.416,1.698,-1.702,5.53018933949597e-10,1.03887047556583e-10,-1.03896468013867e-10
87,560.958,2.578,-1.843,6.57091764692098e-10,9.79638329854429e-11,-9.79789241242759e-11
88,565.284,1.634,-1.748,5.77900846393238e-10,1.05517842105291e-10,-1.05529086058961e-10
89,569.0,2.351,-2.083,6.51251530619741e-10,9.89480020592805e-11,-9.89626968594401e-11
90,574.026,2.047,-2.675,4.0098526678155e-10,7.53267886766687e-11,-7.53335095032653e-11
91,578.44,2.182,-2.367,6.31247407855781e-10,9.77563112891988e-11,-9.7769701585883e-11
92,582.993,2.006,-2.37,7.23519631895324e-10,1.07865618751915e-10,-1.07881056087816e-10
93,586.499,1.429,-1.5,1.10641626534856e-09,1.66196097890685e-10,-1.66220126443579e-10
94,590.028,1.835,-2.101,5.21855746461099e-10,9.52832879028444e-11,-9.52925495706952e-11
95,593.922,2.551,-2.059,6.3785155619866e-10,9.50933028157335e-11,-9.51066226610947e-11
96,598.397,1.691,-1.924,8.10826196954217e-10,1.2319064322336e-10,-1.23207434079124e-10
97,602.018,1.677,-1.93,8.21421980026528e-10,1.24801575537276e-10,-1.24819328823486e-10
98,605.349,1.74,-1.655,6.04129656107773e-10,1.08512474766188e-10,-1.08523775895297e-10
99,609.099,1.379,-2.01,5.54649300111084e-10,1.07242691738235e-10,-1.07252498577588e-10
100,612.377,2.15,-1.899,6.93890524880932e-10,1.09549409781062e-10,-1.09564778130877e-10
101,616.688,1.428,-2.161,8.15972960528384e-10,1.2164906847604e-10,-1.2166653786045e-10
102,620.254,1.708,-2.139,5.05066020641818e-10,9.22176638329714e-11,-9.22265395983515e-11
103,624.083,1.61,-2.121,5.17414619998715e-10,9.44729758080338e-11,-9.44825673195809e-11
104,627.873,1.177,-2.18,5.63412701738803e-10,1.0583897836557e-10,-1.05848169827611e-10
105,630.774,1.779,-1.724,5.42104092766311e-10,1.01835773144175e-10,-1.01844409952023e-10
106,634.231,1.637,-1.678,5.88895171930049e-10,1.07522489413081e-10,-1.07532010280619e-10
107,638.144,1.943,-2.276,6.66030601118439e-10,1.07212686740885e-10,-1.07224737362702e-10
108,642.141,1.971,-2.055,7.42785030180514e-10,1.12851218143368e-10,-1.12865152325922e-10
109,646.079,2.143,-1.967,5.87007455125843e-10,9.92279785320603e-11,-9.92380637011356e-11
110,650.42,2.299,-2.198,6.82082047250084e-10,1.05627360252788e-10,-1.05640772297496e-10
111,654.599,1.705,-1.88,5.7964567598235e-10,1.04113537963642e-10,-1.04123592622292e-10
112,658.533,1.78,-2.228,4.62754749702003e-10,8.94731831327148e-11,-8.94803317992611e-11
113,662.514,2.099,-2.201,4.68454846300345e-10,8.8000899992909e-11,-8.8008555830175e-11
114,666.607,1.411,-1.994,6.15516776525028e-10,1.19009773264584e-10,-1.19019517600192e-10
115,670.107,1.998,-2.088,7.9343984618902e-10,1.18288666129022e-10,-1.18304940601771e-10
116,674.376,1.289,-2.271,5.70377011956195e-10,1.04141940030628e-10,-1.04151530655976e-10
117,677.64,2.361,-1.975,6.80572297367781e-10,1.01462431632679e-10,-1.01476636206488e-10
118,682.283,2.266,-2.282,6.44576533530574e-10,9.6095909488636e-11,-9.61093051609697e-11
119,686.26,2.448,-1.712,7.33823231753827e-10,1.09401134770771e-10,-1.09416326668596e-10
120,690.47,1.787,-1.762,6.41122140594497e-10,1.17058967591285e-10,-1.17069854256114e-10
121,694.7,2.476,-2.443,7.75997486179921e-10,1.15689008482356e-10,-1.1570544514836e-10
122,699.187,1.537,-2.01,6.1741865459793e-10,1.15985211321964e-10,-1.15995979260223e-10
123,702.434,1.855,-1.71,5.59734225805507e-10,1.05149408851846e-10,-1.05159530238448e-10
124,706.149,1.86,-1.86,4.92245687119758e-10,1.00953395111497e-10,-1.00961203416712e-10
125,709.527,2.327,-1.518,5.26233580562471e-10,9.8854841720224e-11,-9.88635358336526e-11
