,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,378.434,79.309,-78.651,1.23E-11,2.77E-12,-2.77E-12
1,5035.421,120.009,-105.649,3.77E-12,9.83E-13,-9.83E-13
2,5293.898,114.771,-138.468,3.34E-12,8.73E-13,-8.73E-13
3,5546.127,173.449,-137.458,2.72E-12,7.12E-13,-7.12E-13
4,5837.115,88.061,-117.539,4.09E-12,1.07E-12,-1.07E-12
5,6047.614,153.359,-122.439,3.23E-12,8.23E-13,-8.23E-13
6,9781.7,150.279,-185.702,2.48E-12,6.50E-13,-6.50E-13
7,10200.094,238.363,-268.116,1.63E-12,4.28E-13,-4.28E-13
8,10730.754,244.269,-292.296,1.55E-12,4.06E-13,-4.06E-13
9,11435.856,509.481,-460.833,1.20E-12,2.68E-13,-2.68E-13
10,16000.211,710.656,-801.246,1.04E-12,2.46E-13,-2.46E-13
11,21877.529,713.959,-933.337,7.23E-13,1.71E-13,-1.71E-13
12,30160.797,3664.481,-3477.232,5.39E-13,1.22E-13,-1.22E-13
13,55910.225,12861.175,-5851.819,2.99E-13,7.60E-14,-7.60E-14
14,147135.804,19045.6558,-6827.8239,5.49E-14,2.22E-14,-1.79E-14
