,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,1000.049,0.331,-0.359,3.46365608004053e-09,5.26968961150835e-10,-5.27206845329093e-10
1,1000.768,0.319,-0.387,3.62056900475013e-09,5.50840380675368e-10,-5.51085798886892e-10
2,1001.412,0.271,-0.325,4.08928826247682e-09,6.22152087636435e-10,-6.2242842387098e-10
3,1002.003,0.294,-0.32,3.78115759021349e-09,5.75273480478107e-10,-5.75531327687653e-10
4,1002.656,0.32,-0.359,5.03531450626184e-09,6.15250016106575e-10,-6.15683104730605e-10
5,1003.252,0.257,-0.276,4.338298430772e-09,6.46778653712641e-10,-6.47087800767057e-10
6,1003.722,0.328,-0.213,4.69147704986322e-09,6.70283859425602e-10,-6.70635888274332e-10
7,1004.35,0.355,-0.299,3.60135073907867e-09,5.3691236124245e-10,-5.37174219931899e-10
8,1005.005,0.314,-0.3,3.82492687720025e-09,5.81938102289894e-10,-5.82214022727942e-10
9,1005.669,0.266,-0.35,3.86364636274723e-09,5.76019819882714e-10,-5.7630774725024e-10
10,1006.167,0.269,-0.232,4.83771117259109e-09,7.13360087708735e-10,-7.13726543045647e-10
11,1006.748,0.324,-0.311,3.85401713364641e-09,5.7970070548337e-10,-5.79984031158416e-10
12,1007.388,0.274,-0.316,4.22402728895215e-09,6.29745702355301e-10,-6.30054367522121e-10
13,1007.933,0.335,-0.271,4.64534579276253e-09,6.44268365530204e-10,-6.44628290600831e-10
14,1008.57,0.346,-0.302,5.36790746147626e-09,6.55889608884421e-10,-6.56354703347535e-10
15,1009.282,0.348,-0.366,4.75743862567517e-09,5.89261597642711e-10,-5.89662245164669e-10
16,1009.911,0.416,-0.282,4.66036532876148e-09,5.91942155237654e-10,-5.92319442832098e-10
17,1010.646,0.286,-0.319,3.93510947998437e-09,5.98693308147227e-10,-5.98954929451777e-10
18,1011.252,0.405,-0.32,3.39908709079438e-09,5.0675115606703e-10,-5.06980530695288e-10
19,1011.949,0.296,-0.293,4.12373724028346e-09,6.14787604272836e-10,-6.15072223359657e-10
20,1012.565,0.379,-0.32,3.39077093020738e-09,5.05515883789756e-10,-5.05756603112305e-10
21,1013.29,0.293,-0.345,3.71393194409212e-09,5.53697577830219e-10,-5.53969315963321e-10
22,1013.86,0.319,-0.277,4.03702297078845e-09,6.01868628568787e-10,-6.02171682054335e-10
23,1014.605,0.307,-0.426,3.15849360358285e-09,4.90492786816468e-10,-4.90727400777193e-10
24,1015.192,0.254,-0.28,4.16271651868853e-09,6.59946720108109e-10,-6.60257343880029e-10
25,1015.749,0.342,-0.304,5.28443803885022e-09,6.45717183180919e-10,-6.462390884769e-10
26,1016.417,0.279,-0.326,3.67279510846005e-09,5.70367486572421e-10,-5.70656952878815e-10
27,1017.012,0.373,-0.315,4.73538597903257e-09,5.9670882688485e-10,-5.97167535499581e-10
28,1017.628,0.269,-0.243,4.74865560551706e-09,7.07977137782617e-10,-7.08363310911214e-10
29,1018.226,0.36,-0.329,3.55993548478432e-09,5.41632430506539e-10,-5.41914480357181e-10
30,1018.905,0.275,-0.319,4.18370598142909e-09,6.3653595939248e-10,-6.36865714867635e-10
31,1019.514,0.244,-0.334,4.38269566442031e-09,6.66810466816826e-10,-6.67154291683278e-10
32,1020.046,0.303,-0.288,4.43881724154818e-09,6.61779757930656e-10,-6.6213272270635e-10
33,1020.643,0.321,-0.295,4.18694557718941e-09,6.37026312189526e-10,-6.37351020297586e-10
34,1021.321,0.284,-0.356,3.90788886272783e-09,5.82621959626398e-10,-5.82928553777136e-10
35,1021.872,0.295,-0.267,4.25726264910083e-09,6.47722193405872e-10,-6.48045963170507e-10
36,1022.454,0.299,-0.286,4.19333363402058e-09,6.25175556427776e-10,-6.2549720453031e-10
37,1023.178,0.254,-0.426,3.65934085959015e-09,5.45561618855086e-10,-5.4583757463967e-10
38,1023.791,0.303,-0.359,3.95736968454693e-09,5.89992835001215e-10,-5.9028709420826e-10
