,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
0,646.158,36.738,-35.974,4.12197402574656e-11,9.29906441738331e-12,-9.29906441738331e-12
1,766.326,87.065,-83.429,3.40554355977907e-11,5.57631366179448e-12,-5.57631366179448e-12
2,45712.385,87.837,-60.095,8.1757961313446e-12,1.79767048750976e-12,-1.79767048750976e-12
3,45850.733,52.289,-50.511,1.08036184733606e-11,2.43830323111214e-12,-2.43830323111214e-12
4,45962.561,45.769,-59.539,9.97263765894561e-12,2.24477219004456e-12,-2.24477219004456e-12
5,46104.121,57.155,-95.791,6.780082367051e-12,1.50798101516759e-12,-1.50798101516759e-12
6,46248.014,58.686,-86.738,6.69693135272126e-12,1.50944000677793e-12,-1.50944000677793e-12
7,46356.954,77.619,-50.254,7.44356137640983e-12,1.67996148092698e-12,-1.67996148092698e-12
8,46523.221,96.887,-88.647,7.63071474385416e-12,1.40679543325064e-12,-1.40679543325064e-12
9,51429.849,63.201,-62.165,7.60246796710568e-12,1.73222852426798e-12,-1.73222852426798e-12
10,51563.993,56.931,-70.942,7.6372478590255e-12,1.71687941813296e-12,-1.71687941813296e-12
11,51694.411,79.459,-73.488,7.38569041535236e-12,1.58036995117562e-12,-1.58036995117562e-12
12,51890.793,98.702,-116.923,8.44433565267827e-12,1.45846601976248e-12,-1.45846601976248e-12
13,80196.65,64.321,-58.537,7.48614351822555e-12,1.68509877254065e-12,-1.68509877254065e-12
14,81334.678,6058.089,-1073.706,4.60190300451609e-12,7.05230184223285e-13,-7.05230184223285e-13
15,333570.015,930.871,-698.874,5.09206195021443e-13,1.37427992360761e-13,-1.37427992360761e-13
16,345072.209,467.711,-495.093,1.01215325285301e-12,2.60386446097783e-13,-2.60386446097783e-13
17,383852.942,24086.716,-16244.01,3.8113824785633e-13,8.56838977122139e-14,-8.56838977122139e-14
18,475996.33,71263.976,-40041.595,2.14509282218514e-13,4.66664793163471e-14,-4.66664793163471e-14
19,680307.574,15032.789,-9111.237,1.98852952802598e-13,5.22857751913463e-14,-5.22857751913463e-14
20,835013.735,9004.721,-8971.619,1.226977782857e-13,5.63462028369174e-14,-4.44099460792699e-14
