t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
1048.275,41.5,-48.763,2.85952397759483E-11,6.40726802072758E-12,-6.40726802072758E-12
1142.119,65.5,-52.343,2.19434564686842E-11,4.93205977700209E-12,-4.93205977700209E-12
1287.162,58.36,-79.542,1.64032790910142E-11,3.69447352614004E-12,-3.69447352614004E-12
1396.74,56.595,-51.219,2.05480502719833E-11,4.51489820570461E-12,-4.51489820570461E-12
1524.12,87.176,-70.784,7.06368529310901E-12,1.58779363712658E-12,-1.58779363712658E-12
1691.972,74.776,-80.676,1.19484382260238E-11,2.09462746684037E-12,-2.09462746684037E-12
5185.649,209.846,-153.716,2.93300538732903E-12,7.66085046019387E-13,-7.66085046019387E-13
5639.468,227.403,-243.974,2.2748831002058E-12,5.94187473621399E-13,-5.94187473621399E-13
6226.141,242.486,-359.27,1.79347389211103E-12,4.7130982921245E-13,-4.7130982921245E-13
6741.565,203.452,-272.938,2.25895319462343E-12,5.90026317490022E-13,-5.90026317490022E-13
7204.102,302.536,-259.085,2.56522532267341E-12,5.77148293033027E-13,-5.77148293033027E-13
11873.557,884.648,-1105.212,9.86497138755081E-13,2.0826459106971E-13,-2.0826459106971E-13
25640.867,4819.876,-7280.324,2.94389013190542E-13,6.79279411115518E-14,-6.79279411115518E-14
57130.303,47938.348,-22155.095,1.31440111421555E-13,3.35251548974249E-14,-3.35251548974249E-14
