time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
3729.787,31.511,-33.679,2.95512171232363e-11,6.66892757185585e-12,-6.66892757185585e-12
3798.984,30.011,-37.686,2.78740368511029e-11,6.30013864691965e-12,-6.30013864691965e-12
3855.036,36.643,-26.04,2.94316330208159e-11,6.6727729513502e-12,-6.6727729513502e-12
3956.011,71.061,-64.332,2.48958812909081e-11,4.21725467362019e-12,-4.21725467362019e-12
5803.853,27.359,-35.324,2.35532843398861e-11,5.30766596715026e-12,-5.30766596715026e-12
5866.151,35.265,-34.939,2.11412421072368e-11,4.75882807569037e-12,-4.75882807569037e-12
5944.994,41.671,-43.578,1.74761607531465e-11,3.92511132830109e-12,-3.92511132830109e-12
6051.708,55.306,-65.043,1.53710041393773e-11,3.0905692886823e-12,-3.0905692886823e-12
15178.146,112.718,-110.433,3.32175766652945e-12,8.77267425752077e-13,-8.77267425752077e-13
15401.747,77.166,-110.883,5.24339927644216e-12,1.19651161841641e-12,-1.19651161841641e-12
15572.307,109.7,-93.393,4.67333182529145e-12,1.05798614760596e-12,-1.05798614760596e-12
15749.791,42.537,-67.785,8.36493317051419e-12,1.88731943316729e-12,-1.88731943316729e-12
15910.34,145.257,-118.012,5.8128373109313e-12,1.32426018745632e-12,-1.32426018745632e-12
16162.238,93.942,-106.641,6.56693178133909e-12,1.21707533333719e-12,-1.21707533333719e-12
21389.286,93.983,-139.197,2.66326445837158e-12,6.99109656759492e-13,-6.99109656759492e-13
21596.428,79.906,-113.158,4.32708147039393e-12,9.7248751650965e-13,-9.7248751650965e-13
21779.626,124.873,-103.293,3.64347407761765e-12,8.22436788288622e-13,-8.22436788288622e-13
22023.111,102.032,-118.612,3.75395521390087e-12,8.4923507859297e-13,-8.4923507859297e-13
22254.031,121.836,-128.888,3.46957147316956e-12,7.65557927220409e-13,-7.65557927220409e-13
27826.684,309.541,-229.528,2.42167891770163e-12,4.75475723600008e-13,-4.75475723600008e-13
32543.545,368.964,-237.807,1.23009405837704e-12,3.22774431274073e-13,-3.22774431274073e-13
40138.395,51886.578,-7225.885,2.54739710892539e-13,4.78389529548054e-14,-4.78389529548054e-14
