time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
316.624,1.875,-1.61,8.48371537152057e-10,1.26469129662275e-10,-1.26472384444454e-10
320.639,2.001,-2.139,6.70099586300931e-10,1.01802318977159e-10,-1.01804819115528e-10
324.778,1.459,-2.139,7.08810231180521e-10,1.0975929382171e-10,-1.09761980115888e-10
328.349,2.189,-2.112,5.77645437291361e-10,8.61112299016627e-11,-8.61134533765593e-11
332.689,1.421,-2.152,4.30003655461565e-10,8.07740244782932e-11,-8.07753828089842e-11
335.567,1.667,-1.457,7.85978065280288e-10,1.19406691089738e-10,-1.19409663883998e-10
338.911,1.922,-1.677,5.28664165336588e-10,9.86086151098992e-11,-9.86101674348509e-11
343.243,2.324,-2.41,6.50873818999158e-10,1.02748867101872e-10,-1.02751171982e-10
347.416,1.879,-1.848,7.78484971994879e-10,1.16051012756693e-10,-1.16054130518726e-10
351.369,1.813,-2.074,6.76051009755257e-10,1.00780866276481e-10,-1.00783481040933e-10
354.781,1.842,-1.599,4.88706338094184e-10,8.92258708597625e-11,-8.92274267645726e-11
359.069,2.427,-2.446,4.86046720478283e-10,7.3840850368812e-11,-7.38427140870315e-11
363.565,2.241,-2.07,5.42924918093251e-10,8.24817634302204e-11,-8.24837467279423e-11
367.824,1.989,-2.018,5.94395078773249e-10,9.03011667892019e-11,-9.03033291239853e-11
371.791,1.527,-1.978,4.68353432391019e-10,8.55098833742459e-11,-8.55113525926669e-11
375.458,1.898,-2.14,6.58881631612333e-10,9.82213532236553e-11,-9.82238936432241e-11
379.584,1.866,-2.227,7.17093906097954e-10,1.08941834338028e-10,-1.08944604029544e-10
383.876,2.206,-2.425,4.02159661971623e-10,7.55436845032403e-11,-7.55448974187276e-11
387.627,2.145,-1.545,4.64555698746596e-10,8.98177531853043e-11,-8.98191019793708e-11
391.721,1.968,-1.95,5.18743764654973e-10,8.89645532490109e-11,-8.89663192658621e-11
395.292,1.976,-1.603,5.54699775633197e-10,1.01274611634919e-10,-1.01276337092018e-10
399.831,2.083,-2.562,7.14548918629485e-10,1.06519762477571e-10,-1.06522443248084e-10
