"time_sec","timePos_sec","timeNeg_sec","flux","flux_errPos","flux_errNeg"
344.196,37.828,-22.348,4.03072743588434e-11,9.10144574800824e-12,-9.10144574800824e-12
427.607,37.158,-45.583,3.05643988088228e-11,6.7500339694801e-12,-6.7500339694801e-12
497.202,42.783,-32.437,3.38043875156377e-11,7.46557172426151e-12,-7.46557172426151e-12
580.752,46.989,-40.767,2.93651336910857e-11,6.43352393660478e-12,-6.43352393660478e-12
657.594,30.323,-29.853,4.11282181028753e-11,9.23502316311625e-12,-9.23502316311625e-12
718.722,31.877,-30.806,4.13873174373605e-11,9.06742926961003e-12,-9.06742926961003e-12
782.407,33.383,-31.807,3.83088448241675e-11,8.6019550885436e-12,-8.6019550885436e-12
843.239,30.219,-27.449,4.39280590694755e-11,9.90513865726654e-12,-9.90513865726654e-12
914.387,29.276,-40.929,3.51652290527012e-11,7.90710519419632e-12,-7.90710519419632e-12
973.774,20.035,-30.111,4.89908780229059e-11,1.09852011178991e-11,-1.09852011178991e-11
1029.567,21.911,-35.758,4.22363398904999e-11,9.51036170860488e-12,-9.51036170860488e-12
1084.969,21.67,-33.491,4.70457494030048e-11,1.03071180599782e-11,-1.03071180599782e-11
1164.344,67.652,-57.705,3.14488308774553e-11,5.58852220530098e-12,-5.58852220530098e-12
4631.447,69.776,-98.214,8.19359992898933e-12,1.84880156774109e-12,-1.84880156774109e-12
4783.605,83.102,-82.381,8.70556815787567e-12,1.92030618673559e-12,-1.92030618673559e-12
4963.546,153.888,-96.839,6.87706782114202e-12,1.3879183590344e-12,-1.3879183590344e-12
12619.762,3735.45,-2388.763,2.08676468628975e-12,4.98539489331904e-13,-4.98539489331904e-13
28178.554,1021.84,-715.719,1.00375028962427e-12,2.09888302037886e-13,-2.09888302037886e-13
34878.301,4396.222,-1738.735,8.5909114787439e-13,1.89748045967384e-13,-1.89748045967384e-13
56145.036,11958.017,-11598.873,4.84252263049304e-13,1.0787812335504e-13,-1.0787812335504e-13
97754.799,11349.082,-7215.238,2.73023748967165e-13,7.28720765760553e-14,-7.28720765760553e-14
184101.182,10269.558,-7623.584,7.40787970392824e-14,4.4359685201609e-14,-3.27348517684316e-14
