time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
398.558,1.254,-1.272,8.95839143229154e-10,1.41103259190651e-10,-1.41250668543002e-10
401.285,1.106,-1.473,8.29479592989157e-10,1.28373624583426e-10,-1.28539417909583e-10
403.543,1.044,-1.152,9.65661081025911e-10,1.46937905090967e-10,-1.47181315612897e-10
405.434,1.048,-0.847,1.12781645315812e-09,1.78035985791559e-10,-1.78319240637379e-10
407.815,1.042,-1.333,9.63219283419805e-10,1.49287037160487e-10,-1.4953355623886e-10
410.068,1.298,-1.211,9.0735188863206e-10,1.40722787949163e-10,-1.40979365245633e-10
412.287,0.875,-0.922,1.23613940322877e-09,1.88498157881834e-10,-1.88914757103644e-10
414.193,1.254,-1.03,9.40606911095093e-10,1.43612479780528e-10,-1.43977676925276e-10
416.34,0.926,-0.893,1.17610078767151e-09,1.8314890414476e-10,-1.83681541130338e-10
418.368,0.993,-1.103,1.04878728462814e-09,1.60652367206675e-10,-1.61202849894958e-10
420.415,0.972,-1.054,1.068296859427e-09,1.69552573429703e-10,-1.70065625331788e-10
422.773,1.203,-1.385,8.35279199351109e-10,1.3482349754786e-10,-1.35161612853647e-10
425.025,1.024,-1.049,1.0724971626527e-09,1.69745095785189e-10,-1.70130681073746e-10
427.181,1.07,-1.132,9.99472328137748e-10,1.55155841319409e-10,-1.55476791770496e-10
429.105,0.852,-0.854,1.2632569070353e-09,1.92482229084969e-10,-1.9286812126517e-10
430.972,0.971,-1.014,1.03409547851437e-09,1.60575115753277e-10,-1.60918941276239e-10
433.223,1.101,-1.28,8.51463071286466e-10,1.34788539576482e-10,-1.35101862528164e-10
435.339,1.021,-1.016,1.04530016172449e-09,1.59501054752808e-10,-1.59881069222961e-10
437.19,0.759,-0.83,1.32533077562213e-09,2.09540585666295e-10,-2.09958137016191e-10
439.535,1.112,-1.586,8.21873739467679e-10,1.27546053450147e-10,-1.27799458628987e-10
441.704,0.819,-1.058,1.24137858447416e-09,1.94180284334599e-10,-1.94609141103228e-10
443.928,1.449,-1.405,8.5838057667829e-10,1.31088186438071e-10,-1.31429558534252e-10
446.591,1.172,-1.214,1.0879134053859e-09,1.66313283124899e-10,-1.66792711609574e-10
449.293,1.128,-1.53,1.00568397536224e-09,1.59492803598219e-10,-1.59942059572661e-10
451.877,1.41,-1.456,8.7692355917909e-10,1.3645808016229e-10,-1.36827463207246e-10
454.802,1.37,-1.515,8.02720845222454e-10,1.25565830422547e-10,-1.25843608671656e-10
457.465,1.291,-1.293,8.89180671083622e-10,1.35282823636718e-10,-1.35502515763596e-10
460.071,1.436,-1.315,8.19589963740962e-10,1.31741875432845e-10,-1.31928509965546e-10
462.401,1.326,-0.894,1.03544306213834e-09,1.63674864395947e-10,-1.63992348652146e-10
465.046,1.415,-1.319,8.33599566350201e-10,1.27060893133103e-10,-1.27327519245649e-10
467.768,1.138,-1.307,8.84598966236245e-10,1.36988179324465e-10,-1.37185821087561e-10
470.53,1.526,-1.624,6.72589476232224e-10,1.10061181906154e-10,-1.1018635554597e-10
473.283,1.099,-1.227,1.01875260677097e-09,1.5482912564354e-10,-1.55038944576786e-10
475.232,1.265,-0.85,1.1513022157644e-09,1.74969299388079e-10,-1.75205336467756e-10
478.064,1.115,-1.566,9.05824325746291e-10,1.40183943521525e-10,-1.40363707611887e-10
480.339,1.146,-1.16,1.06057071906123e-09,1.64344717296166e-10,-1.6460840800945e-10
482.853,1.154,-1.369,9.3908905796076e-10,1.43247097935425e-10,-1.43575862484731e-10
485.757,1.38,-1.749,6.97082450112858e-10,1.10311088354802e-10,-1.10557192048463e-10
488.23,0.891,-1.093,1.07753579565071e-09,1.67305367973512e-10,-1.67659580590789e-10
490.307,1.246,-1.186,8.70022548284767e-10,1.32574279711837e-10,-1.32842460648279e-10
492.635,0.928,-1.082,1.00145360679546e-09,1.58156742415435e-10,-1.58425824785733e-10
495.123,1.349,-1.56,7.4404010309157e-10,1.13429477650621e-10,-1.13672640459613e-10
498.198,1.309,-1.726,7.30153174998951e-10,1.1580676240787e-10,-1.16135878492598e-10
500.861,1.599,-1.354,8.01829307073737e-10,1.2248532260801e-10,-1.22813210484761e-10
503.742,1.059,-1.282,9.88042817603451e-10,1.53316793897295e-10,-1.536169733265e-10
506.078,1.079,-1.276,9.8891708341772e-10,1.50935755517184e-10,-1.51305460601547e-10
508.441,1.827,-1.284,7.38476528764622e-10,1.15014362440654e-10,-1.15352844336858e-10
511.784,1.066,-1.516,8.9530402256526e-10,1.39606641956703e-10,-1.40063163173659e-10
514.404,1.478,-1.554,7.47254267968438e-10,1.18677858536519e-10,-1.1905858138244e-10
516.983,1.151,-1.101,1.0103875328378e-09,1.60393446460128e-10,-1.60887549386415e-10
519.409,1.415,-1.275,8.90029664443104e-10,1.361358303575e-10,-1.36548268495938e-10
521.949,1.471,-1.125,8.87348993318621e-10,1.37913746578071e-10,-1.38242364246746e-10
525.375,1.694,-1.955,6.14190433920821e-10,9.36270826899899e-11,-9.3826036252204e-11
528.746,1.528,-1.677,6.72906472924231e-10,1.04446891376844e-10,-1.04659389885512e-10
532.174,1.962,-1.9,5.74700888616876e-10,8.74929270429568e-11,-8.76492697636089e-11
535.789,1.247,-1.653,7.37012555532756e-10,1.20786811630224e-10,-1.20970170398458e-10
538.761,1.714,-1.725,6.74101802803717e-10,1.04581327883728e-10,-1.04780776727727e-10
541.788,1.286,-1.313,9.28219399024732e-10,1.44133014140235e-10,-1.44441235033356e-10
544.808,2.027,-1.734,6.56880661029433e-10,1.03996436908565e-10,-1.04241021581547e-10
548.57,1.626,-1.735,7.62468326579116e-10,1.20850538162846e-10,-1.21171856924891e-10
551.744,1.728,-1.548,8.0710010562781e-10,1.25212192008609e-10,-1.25450322847112e-10
554.796,1.269,-1.325,9.23158269572899e-10,1.4552359183441e-10,-1.45703945028472e-10
558.397,1.658,-2.332,5.60676479120812e-10,8.51743150791108e-11,-8.52808000803542e-11
561.529,1.653,-1.473,6.99941218423753e-10,1.06528003809474e-10,-1.06710308153336e-10
564.489,1.362,-1.307,7.83217293059417e-10,1.2386203852383e-10,-1.24117268019347e-10
567.445,1.161,-1.595,7.57210088037554e-10,1.24284156563247e-10,-1.24521481950052e-10
569.876,1.422,-1.27,8.45735209813533e-10,1.33799322937702e-10,-1.34088373555467e-10
572.52,1.173,-1.222,1.00896625720275e-09,1.54091921995776e-10,-1.54495077527877e-10
574.82,1.35,-1.127,9.62699939138254e-10,1.47120874388398e-10,-1.47531350805459e-10
577.576,1.466,-1.407,8.05154173960379e-10,1.25314381964566e-10,-1.25660171846819e-10
