time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
104.061,1.693,-1.622,1.17939191706204e-09,1.7659328023682e-10,-1.76413850936564e-10
107.787,2.226,-2.034,8.82736775255133e-10,1.31979114442104e-10,-1.31873354247923e-10
112.498,2.608,-2.486,6.60833064930486e-10,1.04352584870218e-10,-1.04297603993467e-10
117.339,2.106,-2.233,5.16942792715684e-10,9.44554244528338e-11,-9.44314567391313e-11
121.377,1.965,-1.932,5.28082400496876e-10,1.03008664188083e-10,-1.02993616128228e-10
125.406,1.489,-2.064,5.97681478791394e-10,1.09163013697462e-10,-1.09148934109674e-10
130.405,2.389,-3.51,3.37433100452312e-10,6.36721175830604e-11,-6.36646928589352e-11
136.307,3.419,-3.513,2.67424620839156e-10,5.04607263879087e-11,-5.04551781275792e-11
143.859,3.46,-4.133,2.0621490105841e-10,4.45506752656201e-11,-4.45473133212515e-11
166.406,17.854,-12.234,8.42413226189521e-11,1.843823593496e-11,-1.843823593496e-11
262.597,77.116,-78.337,1.49199844542931e-11,3.38954750222773e-12,-3.38954750222773e-12
378.438,49.032,-38.725,2.58870097214482e-11,5.80678773548966e-12,-5.80678773548966e-12
511.122,56.757,-83.653,1.59236452146966e-11,3.586978461193e-12,-3.586978461193e-12
606.963,46.165,-39.084,1.56503815818072e-11,3.5221885292869e-12,-3.5221885292869e-12
695.519,45.365,-42.391,2.03923428004963e-11,4.59391977897817e-12,-4.59391977897817e-12
805.334,80.974,-64.45,1.5497349255324e-11,3.51322612319896e-12,-3.51322612319896e-12
994.309,90.076,-108.001,1.43591477467385e-11,2.69178789865479e-12,-2.69178789865479e-12
4668.724,74.284,-76.156,1.38065730340167e-11,3.12527489417852e-12,-3.12527489417852e-12
4827.615,60.818,-84.607,1.42800539447308e-11,3.23970869335239e-12,-3.23970869335239e-12
4978.683,97.798,-90.251,1.18662642347601e-11,2.64516443439169e-12,-2.64516443439169e-12
5152.5,34.304,-76.018,2.07538767187588e-11,4.67692782896062e-12,-4.67692782896062e-12
5267.112,47.566,-80.308,1.96247727520183e-11,4.40773914445555e-12,-4.40773914445555e-12
5414.884,60.262,-100.206,1.7374583900382e-11,3.8074925118668e-12,-3.8074925118668e-12
5542.25,55.755,-67.104,1.28158984892086e-11,2.88199613396055e-12,-2.88199613396055e-12
5742.35,108.894,-144.346,4.19327432161599e-12,1.06238808696932e-12,-1.06238808696932e-12
5899.702,56.849,-48.458,1.12773290246824e-11,2.53313076029722e-12,-2.53313076029722e-12
6018.366,53.522,-61.814,1.08920144551159e-11,2.38195640471315e-12,-2.38195640471315e-12
6131.276,76.007,-59.388,8.67666876729488e-12,1.96681335629249e-12,-1.96681335629249e-12
6264.594,60.533,-57.311,1.01808351244932e-11,2.28424251953403e-12,-2.28424251953403e-12
6387.869,50.087,-62.742,1.07256880112867e-11,2.39833621407926e-12,-2.39833621407926e-12
6485.919,47.315,-47.963,1.2755768145945e-11,2.85550116313227e-12,-2.85550116313227e-12
6570.056,30.876,-36.821,1.78895540714218e-11,4.01382463722826e-12,-4.01382463722826e-12
6716.521,92.511,-115.59,6.61842826331527e-12,1.39927386232146e-12,-1.39927386232146e-12
10454.335,128.967,-121.765,5.95794032459029e-12,1.34862697509389e-12,-1.34862697509389e-12
10701.779,127.241,-118.477,6.17648865741918e-12,1.40263823770299e-12,-1.40263823770299e-12
10942.442,97.194,-113.422,7.19030073011335e-12,1.61503257874384e-12,-1.61503257874384e-12
11163.855,111.469,-124.22,6.40934855252835e-12,1.44612507026338e-12,-1.44612507026338e-12
11379.568,174.069,-104.244,4.40834205772271e-12,1.11456256802315e-12,-1.11456256802315e-12
11677.926,128.936,-124.289,6.26290220998589e-12,1.38609963979407e-12,-1.38609963979407e-12
16160.086,91.687,-118.928,4.37394827647065e-12,1.14309500820469e-12,-1.14309500820469e-12
16352.779,124.654,-101.006,4.64713063221975e-12,1.14020129034676e-12,-1.14020129034676e-12
16558.136,132.419,-80.704,4.5704357297845e-12,1.18841832470089e-12,-1.18841832470089e-12
16810.971,102.735,-120.416,4.47373485989229e-12,1.1787368360063e-12,-1.1787368360063e-12
17100.232,224.664,-186.525,5.22307785850165e-12,9.5287788287006e-13,-9.5287788287006e-13
29304.325,4094.027,-729.143,2.94853859348786e-12,7.75305712526698e-13,-7.75305712526698e-13
33759.138,474.144,-360.786,1.92143899582236e-12,5.12064482105804e-13,-5.12064482105804e-13
51356.227,5542.508,-6620.953,1.1694068391852e-12,3.1347875229742e-13,-3.1347875229742e-13
59122.874,4669.642,-2224.139,9.72689829605515e-13,1.83896658955912e-13,-1.83896658955912e-13
83571.182,3340.164,-3339.97,9.44742651767507e-13,1.86665029813537e-13,-1.86665029813537e-13
119330.521,23694.961,-21820.722,3.34470644192903e-13,6.9542483296844e-14,-6.9542483296844e-14
234105.497,29939.961,-23021.025,1.79277530203834e-13,6.11184152917708e-14,-5.03506074232037e-14
