time_sec,timePos_sec,timeNeg_sec,flux,flux_errPos,flux_errNeg
595.646,77.402,-80.56,4.23671799634765e-11,9.56233631579115e-12,-9.56233631579115e-12
760.463,95.62,-87.415,3.6410122958593e-11,8.28768583082195e-12,-8.28768583082195e-12
1007.128,77.122,-151.045,1.94239759987846e-11,4.42653866267484e-12,-4.42653866267484e-12
1204.632,225.626,-120.382,2.51229140010484e-11,4.24377048133753e-12,-4.24377048133753e-12
4898.277,126.308,-111.886,8.73338515047409e-12,1.77884765348371e-12,-1.77884765348371e-12
5167.217,85.784,-74.685,1.03722152813344e-11,2.34374962017954e-12,-2.34374962017954e-12
5374.61,114.08,-121.609,7.0319046099975e-12,1.59660912196566e-12,-1.59660912196566e-12
5592.423,91.831,-103.734,8.95963937947484e-12,1.96759473372164e-12,-1.96759473372164e-12
10848.377,225.689,-369.605,3.71583362474914e-12,9.81126027655445e-13,-9.81126027655445e-13
11280.015,225.305,-205.949,4.58331694219071e-12,9.90962957002166e-13,-9.90962957002166e-13
22849.773,5874.922,-5900.442,8.44044633061879e-13,1.99921520750788e-13,-1.99921520750788e-13
54343.505,13867.43,-19360.738,2.0709642118752e-13,7.02320639876216e-14,-7.02320639876216e-14
