"time_sec","timePos_sec","timeNeg_sec","flux","flux_errPos","flux_errNeg"
384.77,21.841,-25.798,2.77619200406249e-10,5.97162397992784e-11,-5.97162397992784e-11
423.132,23.596,-16.521,2.83537104574183e-10,6.36660240516635e-11,-6.36660240516635e-11
457.42,19.396,-10.692,3.61747959189017e-10,8.14547609161177e-11,-8.14547609161177e-11
498.551,10.859,-21.736,3.15015810325201e-10,7.10313922192246e-11,-7.10313922192246e-11
531.187,15.833,-21.776,2.95292883900066e-10,6.34370703116008e-11,-6.34370703116008e-11
565.13,19.5,-18.11,3.21970572593411e-10,7.07273681525761e-11,-7.07273681525761e-11
614.263,18.006,-29.633,2.96284788564073e-10,6.67144339791309e-11,-6.67144339791309e-11
654.485,20.408,-22.216,3.57134539548667e-10,8.06414319462417e-11,-8.06414319462417e-11
689.756,15.225,-14.863,4.58784217457847e-10,1.02872952768686e-10,-1.02872952768686e-10
723.855,16.228,-18.874,3.504907842792e-10,7.88098147490982e-11,-7.88098147490982e-11
766.973,25.764,-26.89,2.50513957974566e-10,5.15534763121806e-11,-5.15534763121806e-11
817.364,30.533,-24.628,1.82489383370817e-10,4.13221656255439e-11,-4.13221656255439e-11
871.705,28.846,-23.808,1.92359611038757e-10,4.35571462512644e-11,-4.35571462512644e-11
925.201,12.96,-24.65,2.99505296613366e-10,6.40163726941408e-11,-6.40163726941408e-11
966.792,31.544,-28.631,1.68253475736652e-10,3.80451693327151e-11,-3.80451693327151e-11
1027.068,41.474,-28.731,1.4398258939111e-10,3.25114505171377e-11,-3.25114505171377e-11
1092.24,31.462,-23.699,1.82311779889264e-10,4.11662335005814e-11,-4.11662335005814e-11
1166.993,39.45,-43.291,1.19946638155688e-10,2.74690934324656e-11,-2.74690934324656e-11
1253.212,38.48,-46.769,1.27901573143557e-10,2.75820113897355e-11,-2.75820113897355e-11
1313.276,23.547,-21.584,2.29626265947082e-10,5.05766726974152e-11,-5.05766726974152e-11
1365.479,23.998,-28.656,2.00005594080376e-10,4.41113922066353e-11,-4.41113922066353e-11
1429.593,30.089,-40.116,1.4176471268639e-10,3.2100642296158e-11,-3.2100642296158e-11
1502.824,27.063,-43.142,1.43295207530563e-10,3.22657826692893e-11,-3.22657826692893e-11
1567.311,32.781,-37.424,1.42964754563532e-10,3.2509463132905e-11,-3.2509463132905e-11
1635.78,42.038,-35.689,1.38564150964895e-10,3.05604481647782e-11,-3.05604481647782e-11
1735.115,48.011,-57.297,9.64288571486292e-11,2.18043239190019e-11,-2.18043239190019e-11
1833.972,41.924,-50.847,1.09600886011437e-10,2.47827563921217e-11,-2.47827563921217e-11
1918.656,32.46,-42.76,1.36253111882218e-10,3.07230488834504e-11,-3.07230488834504e-11
2001.356,67.594,-50.241,1.16434777563133e-10,2.26878645870422e-11,-2.26878645870422e-11
18702.409,106.519,-174.299,1.08405173190154e-11,2.86274617278612e-12,-2.86274617278612e-12
18938.185,108.938,-129.257,1.39127710715722e-11,3.51326632768321e-12,-3.51326632768321e-12
19137.202,123.043,-90.079,1.44595519920145e-11,3.78845227742784e-12,-3.78845227742784e-12
19357.794,158.192,-97.549,1.20341259567918e-11,3.1779523101782e-12,-3.1779523101782e-12
40435.694,160.566,-248.125,7.89532051362207e-12,2.06712335209629e-12,-2.06712335209629e-12
40994.062,254.099,-397.802,4.95776736590194e-12,1.31199211291076e-12,-1.31199211291076e-12
41568.897,316.113,-320.736,5.44144098843899e-12,1.4134620871354e-12,-1.4134620871354e-12
46152.626,249.328,-242.105,6.38867067509329e-12,1.68047747461677e-12,-1.68047747461677e-12
48179.207,3937.237,-1777.254,4.63940108544635e-12,7.61383027832593e-13,-7.61383027832593e-13
95393.969,9904.624,-9281.46,1.91260963454647e-12,4.22675900186717e-13,-4.22675900186717e-13
113195.428,13424.699,-3047.348,1.27466613317376e-12,4.10207809870899e-13,-3.40481669327792e-13
