,t,pos_t_err,neg_t_err,flux,pos_flux_err,neg_flux_err
,249.569,19.187,-23.438,6.11665015584026e-11,1.37202010635467e-11,-1.37202010635467e-11
,296.505,29.919,-27.749,4.08151526786515e-11,9.18404541758912e-12,-9.18404541758912e-12
,350.517,26.054,-24.092,4.56261702490417e-11,9.9961852416057e-12,-9.9961852416057e-12
,400.244,26.473,-23.673,4.33165913513012e-11,9.50915899900764e-12,-9.50915899900764e-12
,455.300,29.086,-28.583,3.8549955493535e-11,8.44586286479807e-12,-8.44586286479807e-12
,517.586,39.512,-33.2,2.9857660035096e-11,6.71844022050328e-12,-6.71844022050328e-12
,604.970,52.422,-47.871,2.16162215341001e-11,4.84364278206945e-12,-4.84364278206945e-12
,699.417,40.717,-42.025,2.59777400295494e-11,5.86386589389591e-12,-5.86386589389591e-12
,768.560,26.736,-28.426,3.94192179731242e-11,8.84208619483601e-12,-8.84208619483601e-12
,832.551,42.979,-37.256,2.79641128413367e-11,6.27917733936599e-12,-6.27917733936599e-12
,906.467,36.761,-30.937,3.37738751823844e-11,7.57578414705507e-12,-7.57578414705507e-12
,980.591,45.379,-37.363,2.73017931765491e-11,6.13045410855818e-12,-6.13045410855818e-12
,1062.649,38.541,-36.679,2.96741961926414e-11,6.65618689610567e-12,-6.65618689610567e-12
,1185.706,83.462,-84.516,2.05986614189728e-11,3.67976053366629e-12,-3.67976053366629e-12
,4622.061,82.761,-102.781,6.62283540633108e-12,1.49087372514544e-12,-1.49087372514544e-12
,4800.848,152.199,-96.025,4.92581796982736e-12,1.11051612925189e-12,-1.11051612925189e-12
,5077.083,106.638,-124.036,5.28453586707446e-12,1.19228008397342e-12,-1.19228008397342e-12
,5406.512,203.444,-222.791,5.1677859512027e-12,8.69546701485228e-13,-8.69546701485228e-13
,6044.002,219.623,-245.458,4.68036563319768e-12,8.44623200904652e-13,-8.44623200904652e-13
,11312.503,270.856,-268.219,1.90943895315953e-12,5.03104687827181e-13,-5.03104687827181e-13
,11873.028,214.305,-289.668,2.08884623324425e-12,5.51315473987806e-13,-5.51315473987806e-13
,12395.296,281.240,-307.963,2.06888809760291e-12,5.1261364932432e-13,-5.1261364932432e-13
,16245.194,283.227,-383.72,1.65267056268387e-12,4.44455470448843e-13,-4.44455470448843e-13
,16812.826,189.469,-284.405,2.39988463923539e-12,6.31569790537972e-13,-6.31569790537972e-13
,22978.071,5056.774,-1329.421,9.50587374416304e-13,2.55259141358664e-13,-2.55259141358664e-13
,28580.566,595.100,-545.721,1.05287809999943e-12,2.55232612651063e-13,-2.55232612651063e-13
,33430.278,531.932,-415.837,9.91765503809661e-13,2.63092026501511e-13,-2.63092026501511e-13
,34349.770,311.967,-387.56,1.60583917467252e-12,3.86927140179003e-13,-3.86927140179003e-13
,39574.584,627.529,-631.136,1.02612510550675e-12,2.25124859049263e-13,-2.25124859049263e-13
,67888.117,18299.406,-5258.787,3.23644936110067e-13,6.9134580095025e-14,-6.9134580095025e-14
,184370.414,170245.581,-65706.676,7.11421384439105e-14,2.09543753970248e-14,-2.09543753970248e-14
