"time_sec","timePos_sec","timeNeg_sec","flux","flux_errPos","flux_errNeg"
120.99,4.451,-3.351,2.1826327186403e-10,3.98492643217247e-11,-3.98492591425769e-11
128.648,3.728,-3.207,2.46326439103779e-10,4.63665933101582e-11,-4.63665880743325e-11
136.1,3.597,-3.724,2.21148756425964e-10,4.57396561571054e-11,-4.57396508687312e-11
143.682,3.202,-3.985,2.38570547159597e-10,4.49066835087799e-11,-4.49066781693162e-11
150.545,2.565,-3.66,2.77707329249666e-10,5.22734916900874e-11,-5.22734863062572e-11
191.31,40.477,-34.742,2.91808412216744e-10,4.55181370783841e-11,-4.55181370783841e-11
3554.151,28.622,-36.568,3.48068103057015e-11,7.84410950169859e-12,-7.84410950169859e-12
3623.08,29.898,-40.307,3.15143629275627e-11,7.11807482259347e-12,-7.11807482259347e-12
3682.267,33.394,-29.289,3.59543856873772e-11,8.06655896492695e-12,-8.06655896492695e-12
3756.492,29.374,-40.831,3.1545674719474e-11,7.13315939829963e-12,-7.13315939829963e-12
3813.552,17.446,-27.686,5.14783285815251e-11,1.15365680615405e-11,-1.15365680615405e-11
3881.455,32.285,-50.457,2.74937597210979e-11,6.19603375241219e-12,-6.19603375241219e-12
3926.634,27.223,-12.894,5.72528687319974e-11,1.2844993137229e-11,-1.2844993137229e-11
3990.413,31.142,-36.556,3.33936882895975e-11,7.52564955983769e-12,-7.52564955983769e-12
4050.367,18.826,-28.813,4.67454606341086e-11,1.05464394312315e-11,-1.05464394312315e-11
4112.078,57.408,-42.885,2.28762476391338e-11,5.15542253006927e-12,-5.15542253006927e-12
4202.155,30.014,-32.669,4.14703109627765e-11,8.90452530047443e-12,-8.90452530047443e-12
4268.491,23.854,-36.322,3.92978059085839e-11,8.8265236440826e-12,-8.8265236440826e-12
4318.519,26.48,-26.174,4.60046166985129e-11,1.00710342275142e-11,-1.00710342275142e-11
4377.81,37.395,-32.81,3.37415564319809e-11,7.60404385278668e-12,-7.60404385278668e-12
4439.611,43.291,-24.406,3.73011900444983e-11,8.38744644216407e-12,-8.38744644216407e-12
4528.122,24.985,-45.22,3.51594077172726e-11,7.91469841171373e-12,-7.91469841171373e-12
4597.36,48.518,-44.253,2.67081172011468e-11,5.8905840996965e-12,-5.8905840996965e-12
4696.858,61.85,-50.98,2.03392863936777e-11,4.58883308772674e-12,-4.58883308772674e-12
4809.176,34.781,-50.468,2.72317125086864e-11,6.15076253345331e-12,-6.15076253345331e-12
4878.149,36.013,-34.192,3.29002013804402e-11,7.4061305048896e-12,-7.4061305048896e-12
4951.081,40.808,-36.919,3.02691185561932e-11,6.8291448025959e-12,-6.8291448025959e-12
5059.615,62.654,-67.726,2.37266802414205e-11,4.23275603372418e-12,-4.23275603372418e-12
9282.045,70.441,-69.969,1.7015574047212e-11,3.85746550329362e-12,-3.85746550329362e-12
9420.261,52.576,-67.775,1.8209792782595e-11,4.1284859330424e-12,-4.1284859330424e-12
9525.821,54.831,-52.984,1.2081237233098e-11,2.71721756136041e-12,-2.71721756136041e-12
9622.736,50.687,-42.084,1.38880996512077e-11,3.11632587459607e-12,-3.11632587459607e-12
9708.002,35.626,-34.579,1.98545560407449e-11,4.48122744843897e-12,-4.48122744843897e-12
9794.872,46.542,-51.244,1.54629312743664e-11,3.48594204853698e-12,-3.48594204853698e-12
9904.392,57.373,-62.979,2.30158643711027e-11,5.19390198916053e-12,-5.19390198916053e-12
10036.767,80.452,-75.002,1.60678596803802e-11,3.63842136299158e-12,-3.63842136299158e-12
10182.96,62.132,-65.741,1.21536896883991e-11,2.74633800590575e-12,-2.74633800590575e-12
10315.409,75.108,-70.317,1.01741020935983e-11,2.29095457432416e-12,-2.29095457432416e-12
10437.987,42.794,-47.469,1.57549558117008e-11,3.54762348805031e-12,-3.54762348805031e-12
10550.536,73.162,-69.755,9.54413402852877e-12,2.15919635155114e-12,-2.15919635155114e-12
10680.057,58.972,-56.358,1.30001356602052e-11,2.78930000243994e-12,-2.78930000243994e-12
15803.016,74.4,-111.142,7.57522375402761e-12,1.66570444175872e-12,-1.66570444175872e-12
15989.699,95.825,-112.283,6.40082142537583e-12,1.44609908105853e-12,-1.44609908105853e-12
16194.581,114.094,-109.058,5.90811429326165e-12,1.33632262547755e-12,-1.33632262547755e-12
16434.635,124.765,-125.959,6.83332582931816e-12,1.35918830911873e-12,-1.35918830911873e-12
21850.308,101.472,-101.621,4.86436906612979e-12,1.26485754600858e-12,-1.26485754600858e-12
22098.626,68.784,-146.846,6.18171822972499e-12,1.39699028079147e-12,-1.39699028079147e-12
22295.165,107.934,-127.755,5.7187439196472e-12,1.29828753223297e-12,-1.29828753223297e-12
22529.978,83.736,-126.879,5.21201920296363e-12,1.32417684560246e-12,-1.32417684560246e-12
22783.786,150.866,-170.072,5.26259207048295e-12,1.08442183977753e-12,-1.08442183977753e-12
38961.563,213.285,-187.883,2.88597029369271e-12,7.32522888779338e-13,-7.32522888779338e-13
46972.93,2729.764,-1868.382,1.47740673128739e-12,3.30851987140105e-13,-3.30851987140105e-13
56237.478,718.972,-991.006,1.28724418989798e-12,2.49555452956323e-13,-2.49555452956323e-13
62632.174,4072.233,-2102.909,1.20709050918387e-12,2.20218250598149e-13,-2.20218250598149e-13
72656.243,869.864,-827.579,8.56569102722053e-13,2.00660220980099e-13,-2.00660220980099e-13
96327.526,4514.776,-1675.018,6.79640574148585e-13,1.60111038595581e-13,-1.60111038595581e-13
108570.778,4231.934,-2543.48,5.34100301165577e-13,1.2418036048757e-13,-1.2418036048757e-13
152431.167,6470.907,-6373.256,4.62142579371066e-13,8.45457387312716e-14,-8.45457387312716e-14
242933.594,12783.025,-10478.281,3.10862078545995e-13,7.55979730018037e-14,-7.55979730018037e-14
